@relation GOLDSTANDARD_AROUSAL

@attribute Instance_name string
@attribute frameTime numeric
@attribute GoldStandard numeric


@data

dev_1,0,-0.022925
dev_1,0.04,-0.022925
dev_1,0.08,-0.022925
dev_1,0.12,-0.022925
dev_1,0.16,-0.022925
dev_1,0.2,-0.022925
dev_1,0.24,-0.022925
dev_1,0.28,-0.022925
dev_1,0.32,-0.022925
dev_1,0.36,-0.022925
dev_1,0.4,-0.022925
dev_1,0.44,-0.022925
dev_1,0.48,-0.022925
dev_1,0.52,-0.024592
dev_1,0.56,-0.024592
dev_1,0.6,-0.022925
dev_1,0.64,-0.021258
dev_1,0.68,-0.017925
dev_1,0.72,-0.016258
dev_1,0.76,-0.011258
dev_1,0.8,-0.0079248
dev_1,0.84,-0.0062582
dev_1,0.88,-0.0045915
dev_1,0.92,-0.0045915
dev_1,0.96,-0.0029248
dev_1,1,-0.0029248
dev_1,1.04,-0.0029248
dev_1,1.08,-0.0045915
dev_1,1.12,-0.0029248
dev_1,1.16,0.0004085
dev_1,1.2,0.0070752
dev_1,1.24,0.0087418
dev_1,1.28,0.010408
dev_1,1.32,0.013742
dev_1,1.36,0.013742
dev_1,1.4,0.013742
dev_1,1.44,0.015408
dev_1,1.48,0.015408
dev_1,1.52,0.013742
dev_1,1.56,0.013742
dev_1,1.6,0.010408
dev_1,1.64,0.010408
dev_1,1.68,0.012075
dev_1,1.72,0.022075
dev_1,1.76,0.025408
dev_1,1.8,0.027075
dev_1,1.84,0.028742
dev_1,1.88,0.027075
dev_1,1.92,0.028742
dev_1,1.96,0.028742
dev_1,2,0.028742
dev_1,2.04,0.027075
dev_1,2.08,0.027075
dev_1,2.12,0.027075
dev_1,2.16,0.025408
dev_1,2.2,0.023742
dev_1,2.24,0.025408
dev_1,2.28,0.023742
dev_1,2.32,0.023742
dev_1,2.36,0.027075
dev_1,2.4,0.027075
dev_1,2.44,0.025408
dev_1,2.48,0.030408
dev_1,2.52,0.033742
dev_1,2.56,0.035408
dev_1,2.6,0.040408
dev_1,2.64,0.045408
dev_1,2.68,0.050408
dev_1,2.72,0.053742
dev_1,2.76,0.058742
dev_1,2.8,0.060408
dev_1,2.84,0.063742
dev_1,2.88,0.068742
dev_1,2.92,0.073742
dev_1,2.96,0.077075
dev_1,3,0.082075
dev_1,3.04,0.088742
dev_1,3.08,0.093742
dev_1,3.12,0.10041
dev_1,3.16,0.10708
dev_1,3.2,0.11374
dev_1,3.24,0.11708
dev_1,3.28,0.12208
dev_1,3.32,0.12541
dev_1,3.36,0.12874
dev_1,3.4,0.13041
dev_1,3.44,0.13374
dev_1,3.48,0.13708
dev_1,3.52,0.13874
